# Profile Compression settings. Method: Sum Points, using 1 datapoints
# Profile Smoothing is Disabled
#	total	C_2HO-	LiCO_3-	LiF_2-	LiO-	Li_3N-	SO-	LiO_2-	Li_2O-	
#	N/A	40.9138	66.9930	45.4100	22.8669	34.5997	48.1363	39.1065	30.0886	
Sputter Time (s)	Intensity	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	
290	359039	3278.11	199.102	471.725	13588.4	519.138	129.532	3941.26	269.163	
291	357707	3247.49	209.239	488.192	13922.5	510.883	122.464	3979.79	275.27	
292	358505	3159.34	195.072	463.503	13794.7	526.369	134.558	3844.13	288.506	
293	360352	3232.22	198.117	457.333	13902.5	518.106	129.54	3994.14	269.187	
294	360324	3174.33	187.999	460.433	13758.6	510.915	119.464	3947.1	228.579	
295	360535	3300.09	186.991	460.419	13654.3	486.142	115.424	4061.28	272.225	
296	359783	3154.06	174.888	469.678	13925.2	528.431	151.75	4005.13	264.109	
297	360489	3287.2	180.935	485.107	13834.8	480.992	114.43	3923.09	276.305	
298	359683	3287.08	236.604	443.951	13750.6	526.365	118.462	4091.84	256.989	
299	360190	3303.81	193.075	491.329	13937.9	510.883	153.744	3978.5	239.726	
300	360624	3281.23	187.001	431.637	13916.5	523.268	132.545	4163.77	281.384	
301	359857	3187.27	182.987	457.301	13859.7	502.694	142.645	3976.5	241.744	
302	361030	3222.34	197.106	463.522	14169.7	504.757	115.434	3949.12	253.932	
303	363722	3214.81	182.953	455.305	13739.7	504.694	145.67	3925.37	255.96	
304	360497	3252.81	185.995	486.166	13797	537.728	165.865	4086.44	260.031	
305	361536	3227.98	180.902	450.172	13759.8	562.583	146.707	4122.56	278.318	
306	362088	3194.13	176.874	482.016	13954.3	492.323	139.639	4122.16	273.235	
307	361801	3244.27	202.153	502.636	14054.8	512.978	119.45	4038.07	287.486	
308	363734	3309.68	183.962	466.58	14067.6	510.883	125.508	3990.97	269.173	
309	361646	3272.98	213.29	446.024	14095.9	482.05	129.524	4014.44	249.877	
310	362651	3247.37	180.942	479.01	14076.4	519.171	139.593	4048.38	283.397	
311	362604	3160.77	178.891	476.863	14114.1	522.268	116.425	4130.33	269.196	
312	362728	3215.63	172.87	464.545	14281.4	547.031	147.714	4089.6	258.995	
